Acacia Button,https://static.wikia.nocookie.net/minecraft_gamepedia/images/7/72/Acacia_Button_JE3_BE2.png/revision/latest?cb=20200224211937
Acacia Door,https://static.wikia.nocookie.net/minecraft_gamepedia/images/3/32/Acacia_Door_JE5.png/revision/latest?cb=20220317054903
Acacia Fence,https://static.wikia.nocookie.net/minecraft_gamepedia/images/4/4d/Acacia_Fence_JE3_BE2.png/revision/latest?cb=20200224212815
Acacia Fence Gate,https://static.wikia.nocookie.net/minecraft_gamepedia/images/3/3b/Acacia_Fence_Gate_JE3_BE2.png/revision/latest?cb=20200224212840
Acacia Hanging Sign,https://static.wikia.nocookie.net/minecraft_gamepedia/images/9/91/Acacia_Hanging_Sign_JE1_BE1.png/revision/latest?cb=20221201125901
Acacia Leaves,https://static.wikia.nocookie.net/minecraft_gamepedia/images/2/27/Acacia_Leaves.png/revision/latest?cb=20220417090109
Acacia Log,https://static.wikia.nocookie.net/minecraft_gamepedia/images/e/e4/Acacia_Log.png/revision/latest?cb=20220112085719
Acacia Planks,https://static.wikia.nocookie.net/minecraft_gamepedia/images/b/bb/Acacia_Planks.png/revision/latest?cb=20220112085721
Acacia Pressure Plate,https://static.wikia.nocookie.net/minecraft_gamepedia/images/e/e9/Acacia_Pressure_Plate_JE3_BE2.png/revision/latest?cb=20200912154215
Acacia Sapling,https://static.wikia.nocookie.net/minecraft_gamepedia/images/0/0f/Acacia_Sapling_JE7_BE2.png/revision/latest?cb=20200224213102
Acacia Sign,https://static.wikia.nocookie.net/minecraft_gamepedia/images/0/05/Acacia_Sign_%280%29.png/revision/latest?cb=20211226142415
Acacia Slab,https://static.wikia.nocookie.net/minecraft_gamepedia/images/1/14/Acacia_Slab.png/revision/latest?cb=20220112085724
Acacia Stairs,https://static.wikia.nocookie.net/minecraft_gamepedia/images/8/8c/Acacia_Stairs.png/revision/latest?cb=20220112085727
Acacia Trapdoor,https://static.wikia.nocookie.net/minecraft_gamepedia/images/6/63/Acacia_Trapdoor_JE1_BE1.png/revision/latest?cb=20201206122817
Acacia Wood,https://static.wikia.nocookie.net/minecraft_gamepedia/images/5/55/Acacia_Wood.png/revision/latest?cb=20220112085730
